0.00.550.402 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.550.408 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.550.411 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.550.412 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.550.413 W model has unused tensor blk.64.attn_v.weight (size = 3604480 bytes) -- ignoring
0.00.550.417 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.550.418 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.550.420 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.550.422 W model has unused tensor blk.64.ffn_gate.weight (size = 61276160 bytes) -- ignoring
0.00.550.423 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.550.424 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.550.426 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 36044800 bytes) -- ignoring
0.00.550.428 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.550.429 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.550.432 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.02.940.557 I 
0.02.940.632 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CUDA : ARCHS = 1200 | USE_GRAPHS = 1 | BLACKWELL_NATIVE_FP4 = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX_VNNI = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
0.02.944.849 I hellaswag_score : loaded 10042 tasks from prompt.
0.02.944.852 I ================================= is_spm = 0
0.02.944.853 I hellaswag_score : selecting 10042 randomized tasks.
0.05.630.252 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
55	83.63636364%	[71.7363%, 91.1446%]
56	82.14285714%	[70.1588%, 90.0001%]
57	82.45614035%	[70.6326%, 90.1811%]
58	82.75862069%	[71.0917%, 90.3557%]
59	83.05084746%	[71.5368%, 90.5242%]
60	83.33333333%	[71.9684%, 90.6868%]
61	83.60655738%	[72.3872%, 90.8440%]
62	83.87096774%	[72.7937%, 90.9959%]
63	84.12698413%	[73.1884%, 91.1429%]
64	84.37500000%	[73.5719%, 91.2852%]
65	84.61538462%	[73.9447%, 91.4229%]
66	84.84848485%	[74.3071%, 91.5564%]
67	85.07462687%	[74.6596%, 91.6857%]
68	85.29411765%	[75.0026%, 91.8112%]
69	85.50724638%	[75.3365%, 91.9329%]
70	84.28571429%	[74.0118%, 90.9924%]
71	84.50704225%	[74.3490%, 91.1227%]
72	84.72222222%	[74.6777%, 91.2493%]
73	84.93150685%	[74.9981%, 91.3723%]
74	85.13513514%	[75.3105%, 91.4919%]
75	84.00000000%	[74.0833%, 90.6035%]
76	84.21052632%	[74.3986%, 90.7305%]
77	83.11688312%	[73.2271%, 89.8593%]
78	83.33333333%	[73.5444%, 89.9931%]
79	83.54430380%	[73.8543%, 90.1233%]
80	83.75000000%	[74.1571%, 90.2502%]
81	83.95061728%	[74.4530%, 90.3738%]
82	84.14634146%	[74.7421%, 90.4944%]
83	83.13253012%	[73.6559%, 89.6779%]
84	83.33333333%	[73.9470%, 89.8043%]
85	82.35294118%	[72.9044%, 89.0036%]
86	82.55813953%	[73.1968%, 89.1352%]
87	82.75862069%	[73.4830%, 89.2637%]
88	82.95454545%	[73.7631%, 89.3892%]
89	83.14606742%	[74.0374%, 89.5117%]
90	83.33333333%	[74.3061%, 89.6315%]
91	83.51648352%	[74.5693%, 89.7486%]
92	83.69565217%	[74.8272%, 89.8630%]
93	83.87096774%	[75.0799%, 89.9749%]
94	84.04255319%	[75.3276%, 90.0844%]
95	84.21052632%	[75.5704%, 90.1915%]
96	84.37500000%	[75.8085%, 90.2963%]
97	84.53608247%	[76.0420%, 90.3989%]
98	84.69387755%	[76.2711%, 90.4993%]
99	84.84848485%	[76.4959%, 90.5977%]
100	84.00000000%	[75.5797%, 89.9047%]
101	84.15841584%	[75.8064%, 90.0072%]
102	83.33333333%	[74.9213%, 89.3258%]
103	83.49514563%	[75.1495%, 89.4322%]
104	83.65384615%	[75.3736%, 89.5365%]
105	83.80952381%	[75.5938%, 89.6387%]
106	83.96226415%	[75.8100%, 89.7390%]
107	84.11214953%	[76.0225%, 89.8373%]
108	84.25925926%	[76.2313%, 89.9338%]
109	84.40366972%	[76.4365%, 90.0285%]
110	84.54545455%	[76.6382%, 90.1213%]
111	84.68468468%	[76.8364%, 90.2125%]
112	84.82142857%	[77.0314%, 90.3020%]
113	84.95575221%	[77.2231%, 90.3899%]
114	84.21052632%	[76.4179%, 89.7727%]
115	84.34782609%	[76.6112%, 89.8639%]
116	84.48275862%	[76.8015%, 89.9534%]
117	84.61538462%	[76.9886%, 90.0413%]
118	83.89830508%	[76.2164%, 89.4427%]
119	84.03361345%	[76.4050%, 89.5336%]
120	83.33333333%	[75.6547%, 88.9440%]
121	83.47107438%	[75.8446%, 89.0377%]
122	83.60655738%	[76.0315%, 89.1298%]
123	83.73983740%	[76.2156%, 89.2204%]
124	83.87096774%	[76.3968%, 89.3095%]
125	84.00000000%	[76.5754%, 89.3972%]
126	84.12698413%	[76.7512%, 89.4834%]
127	84.25196850%	[76.9245%, 89.5682%]
128	83.59375000%	[76.2182%, 89.0117%]
129	82.94573643%	[75.5267%, 88.4594%]
130	83.07692308%	[75.7047%, 88.5504%]
131	83.20610687%	[75.8802%, 88.6401%]
132	82.57575758%	[75.2096%, 88.0995%]
133	82.70676692%	[75.3860%, 88.1913%]
134	82.08955224%	[74.7320%, 87.6585%]
135	82.22222222%	[74.9090%, 87.7524%]
136	82.35294118%	[75.0836%, 87.8448%]
137	82.48175182%	[75.2558%, 87.9358%]
138	82.60869565%	[75.4256%, 88.0255%]
139	82.73381295%	[75.5932%, 88.1138%]
140	82.85714286%	[75.7584%, 88.2009%]
141	82.26950355%	[75.1352%, 87.6921%]
142	82.39436620%	[75.3012%, 87.7810%]
143	82.51748252%	[75.4649%, 87.8687%]
144	82.63888889%	[75.6266%, 87.9551%]
145	82.75862069%	[75.7861%, 88.0402%]
146	82.87671233%	[75.9435%, 88.1242%]
147	82.99319728%	[76.0989%, 88.2070%]
148	83.10810811%	[76.2524%, 88.2886%]
149	83.22147651%	[76.4039%, 88.3692%]
150	83.33333333%	[76.5534%, 88.4486%]
151	83.44370861%	[76.7011%, 88.5269%]
152	83.55263158%	[76.8469%, 88.6042%]
153	83.66013072%	[76.9910%, 88.6804%]
154	83.11688312%	[76.4116%, 88.2102%]
155	83.22580645%	[76.5564%, 88.2881%]
156	83.33333333%	[76.6995%, 88.3650%]
157	83.43949045%	[76.8408%, 88.4408%]
158	83.54430380%	[76.9805%, 88.5157%]
159	83.64779874%	[77.1184%, 88.5897%]
160	83.75000000%	[77.2547%, 88.6626%]
161	83.85093168%	[77.3895%, 88.7347%]
162	83.95061728%	[77.5226%, 88.8058%]
163	84.04907975%	[77.6542%, 88.8761%]
164	84.14634146%	[77.7842%, 88.9454%]
165	84.24242424%	[77.9128%, 89.0139%]
166	84.33734940%	[78.0398%, 89.0816%]
167	84.43113772%	[78.1654%, 89.1484%]
168	84.52380952%	[78.2896%, 89.2145%]
169	84.61538462%	[78.4124%, 89.2797%]
170	84.70588235%	[78.5338%, 89.3441%]
171	84.79532164%	[78.6539%, 89.4078%]
172	84.88372093%	[78.7726%, 89.4707%]
173	84.97109827%	[78.8900%, 89.5328%]
174	85.05747126%	[79.0062%, 89.5943%]
175	85.14285714%	[79.1210%, 89.6550%]
176	85.22727273%	[79.2346%, 89.7150%]
177	85.31073446%	[79.3470%, 89.7743%]
178	85.39325843%	[79.4582%, 89.8330%]
179	85.47486034%	[79.5682%, 89.8909%]
180	85.55555556%	[79.6770%, 89.9482%]
181	85.63535912%	[79.7846%, 90.0049%]
182	85.71428571%	[79.8912%, 90.0609%]
183	85.79234973%	[79.9966%, 90.1163%]
184	85.86956522%	[80.1009%, 90.1711%]
185	85.94594595%	[80.2042%, 90.2253%]
186	86.02150538%	[80.3063%, 90.2789%]
187	85.56149733%	[79.8079%, 89.8835%]
188	85.63829787%	[79.9110%, 89.9384%]
189	85.71428571%	[80.0130%, 89.9927%]
190	85.78947368%	[80.1140%, 90.0464%]
191	85.86387435%	[80.2140%, 90.0995%]
192	85.93750000%	[80.3131%, 90.1521%]
193	85.49222798%	[79.8312%, 89.7680%]
194	85.56701031%	[79.9311%, 89.8218%]
195	85.64102564%	[80.0299%, 89.8750%]
196	85.71428571%	[80.1279%, 89.9277%]
197	85.78680203%	[80.2248%, 89.9798%]
198	85.35353535%	[79.7567%, 89.6046%]
199	85.42713568%	[79.8545%, 89.6579%]
200	85.00000000%	[79.3944%, 89.2864%]
201	85.07462687%	[79.4929%, 89.3408%]
202	85.14851485%	[79.5905%, 89.3946%]
203	85.22167488%	[79.6872%, 89.4479%]
204	84.80392157%	[79.2380%, 89.0833%]
205	84.39024390%	[78.7947%, 88.7206%]
206	84.46601942%	[78.8936%, 88.7765%]
207	84.54106280%	[78.9916%, 88.8319%]
208	84.61538462%	[79.0887%, 88.8867%]
209	84.68899522%	[79.1849%, 88.9409%]
210	84.76190476%	[79.2802%, 88.9947%]
211	84.83412322%	[79.3747%, 89.0479%]
212	84.43396226%	[78.9460%, 88.6963%]
213	84.50704225%	[79.0410%, 88.7504%]
214	84.11214953%	[78.6190%, 88.4022%]
215	83.72093023%	[78.2021%, 88.0559%]
216	83.79629630%	[78.2991%, 88.1124%]
217	83.87096774%	[78.3953%, 88.1683%]
218	83.94495413%	[78.4906%, 88.2237%]
219	84.01826484%	[78.5851%, 88.2786%]
220	84.09090909%	[78.6787%, 88.3330%]
221	84.16289593%	[78.7716%, 88.3869%]
222	83.78378378%	[78.3676%, 88.0507%]
223	83.85650224%	[78.4610%, 88.1054%]
224	83.92857143%	[78.5535%, 88.1596%]
225	84.00000000%	[78.6452%, 88.2133%]
226	84.07079646%	[78.7362%, 88.2665%]
227	84.14096916%	[78.8264%, 88.3193%]
228	84.21052632%	[78.9158%, 88.3715%]
229	84.27947598%	[79.0045%, 88.4233%]
230	84.34782609%	[79.0925%, 88.4747%]
231	84.41558442%	[79.1797%, 88.5256%]
232	84.48275862%	[79.2662%, 88.5760%]
233	84.54935622%	[79.3519%, 88.6260%]
234	84.18803419%	[78.9662%, 88.3055%]
235	84.25531915%	[79.0525%, 88.3562%]
236	84.32203390%	[79.1381%, 88.4066%]
237	84.38818565%	[79.2229%, 88.4564%]
238	84.45378151%	[79.3071%, 88.5059%]
239	84.51882845%	[79.3906%, 88.5550%]
240	84.16666667%	[79.0149%, 88.2419%]
241	84.23236515%	[79.0989%, 88.2916%]
242	84.29752066%	[79.1822%, 88.3410%]
243	83.95061728%	[78.8128%, 88.0317%]
244	84.01639344%	[78.8965%, 88.0818%]
245	84.08163265%	[78.9796%, 88.1314%]
246	84.14634146%	[79.0620%, 88.1806%]
247	84.21052632%	[79.1438%, 88.2294%]
248	83.87096774%	[78.7825%, 87.9261%]
249	83.93574297%	[78.8647%, 87.9756%]
250	84.00000000%	[78.9463%, 88.0246%]
251	84.06374502%	[79.0273%, 88.0733%]
252	84.12698413%	[79.1076%, 88.1215%]
253	84.18972332%	[79.1873%, 88.1694%]
254	84.25196850%	[79.2664%, 88.2169%]
255	84.31372549%	[79.3449%, 88.2640%]
256	83.98437500%	[78.9945%, 87.9695%]
257	84.04669261%	[79.0734%, 88.0172%]
258	84.10852713%	[79.1517%, 88.0645%]
259	83.78378378%	[78.8066%, 87.7734%]
260	83.46153846%	[78.4650%, 87.4837%]
261	83.52490421%	[78.5446%, 87.5326%]
262	83.20610687%	[78.2072%, 87.2454%]
263	82.88973384%	[77.8730%, 86.9596%]
264	82.95454545%	[77.9538%, 87.0100%]
265	83.01886792%	[78.0341%, 87.0600%]
266	83.08270677%	[78.1139%, 87.1096%]
267	83.14606742%	[78.1930%, 87.1589%]
268	83.20895522%	[78.2716%, 87.2078%]
269	83.27137546%	[78.3496%, 87.2563%]
270	83.33333333%	[78.4270%, 87.3044%]
271	83.39483395%	[78.5039%, 87.3522%]
272	83.45588235%	[78.5803%, 87.3996%]
273	83.15018315%	[78.2570%, 87.1233%]
274	83.21167883%	[78.3337%, 87.1713%]
275	83.27272727%	[78.4098%, 87.2189%]
276	83.33333333%	[78.4854%, 87.2661%]
277	83.39350181%	[78.5605%, 87.3130%]
278	83.45323741%	[78.6350%, 87.3595%]
279	83.51254480%	[78.7091%, 87.4057%]
280	83.21428571%	[78.3937%, 87.1358%]
281	83.27402135%	[78.4680%, 87.1825%]
282	83.33333333%	[78.5418%, 87.2289%]
283	83.39222615%	[78.6152%, 87.2749%]
284	83.45070423%	[78.6880%, 87.3206%]
285	83.50877193%	[78.7603%, 87.3659%]
286	83.21678322%	[78.4517%, 87.1014%]
287	83.27526132%	[78.5243%, 87.1472%]
288	83.33333333%	[78.5964%, 87.1927%]
289	83.39100346%	[78.6681%, 87.2379%]
290	83.44827586%	[78.7392%, 87.2828%]
291	83.50515464%	[78.8099%, 87.3273%]
292	83.56164384%	[78.8801%, 87.3716%]
293	83.61774744%	[78.9499%, 87.4155%]
294	83.67346939%	[79.0192%, 87.4591%]
295	83.72881356%	[79.0880%, 87.5024%]
296	83.78378378%	[79.1564%, 87.5455%]
297	83.50168350%	[78.8580%, 87.2898%]
298	83.55704698%	[78.9266%, 87.3333%]
299	83.61204013%	[78.9949%, 87.3765%]
300	83.66666667%	[79.0627%, 87.4194%]
301	83.72093023%	[79.1300%, 87.4619%]
302	83.44370861%	[78.8369%, 87.2104%]
303	83.49834983%	[78.9045%, 87.2534%]
304	83.55263158%	[78.9718%, 87.2961%]
305	83.60655738%	[79.0385%, 87.3386%]
306	83.66013072%	[79.1049%, 87.3807%]
307	83.38762215%	[78.8169%, 87.1331%]
308	83.44155844%	[78.8835%, 87.1757%]
309	83.49514563%	[78.9497%, 87.2180%]
310	83.22580645%	[78.6654%, 86.9728%]
311	83.27974277%	[78.7319%, 87.0155%]
312	83.33333333%	[78.7979%, 87.0579%]
313	83.38658147%	[78.8635%, 87.1000%]
314	83.43949045%	[78.9288%, 87.1419%]
315	83.49206349%	[78.9936%, 87.1835%]
316	83.54430380%	[79.0580%, 87.2248%]
317	83.59621451%	[79.1221%, 87.2659%]
318	83.64779874%	[79.1857%, 87.3067%]
319	83.69905956%	[79.2490%, 87.3472%]
320	83.75000000%	[79.3118%, 87.3875%]
321	83.80062305%	[79.3743%, 87.4275%]
322	83.85093168%	[79.4365%, 87.4672%]
323	83.90092879%	[79.4982%, 87.5068%]
324	83.95061728%	[79.5596%, 87.5460%]
325	84.00000000%	[79.6206%, 87.5850%]
326	84.04907975%	[79.6812%, 87.6238%]
327	84.09785933%	[79.7415%, 87.6623%]
328	84.14634146%	[79.8015%, 87.7006%]
329	83.89057751%	[79.5308%, 87.4681%]
330	83.93939394%	[79.5909%, 87.5068%]
331	83.98791541%	[79.6508%, 87.5452%]
332	84.03614458%	[79.7103%, 87.5834%]
333	83.78378378%	[79.4434%, 87.3536%]
334	83.83233533%	[79.5031%, 87.3922%]
335	83.88059701%	[79.5625%, 87.4305%]
336	83.92857143%	[79.6215%, 87.4686%]
337	83.97626113%	[79.6802%, 87.5064%]
338	84.02366864%	[79.7386%, 87.5441%]
339	84.07079646%	[79.7966%, 87.5815%]
340	84.11764706%	[79.8543%, 87.6186%]
341	84.16422287%	[79.9117%, 87.6556%]
342	84.21052632%	[79.9687%, 87.6923%]
343	84.25655977%	[80.0255%, 87.7288%]
344	84.30232558%	[80.0819%, 87.7651%]
345	84.05797101%	[79.8232%, 87.5426%]
346	83.81502890%	[79.5664%, 87.3210%]
347	83.86167147%	[79.6236%, 87.3582%]
348	83.90804598%	[79.6805%, 87.3952%]
349	83.95415473%	[79.7370%, 87.4320%]
350	83.71428571%	[79.4837%, 87.2129%]
351	83.76068376%	[79.5404%, 87.2499%]
352	83.80681818%	[79.5969%, 87.2868%]
353	83.85269122%	[79.6531%, 87.3235%]
354	83.89830508%	[79.7089%, 87.3599%]
355	83.94366197%	[79.7644%, 87.3961%]
356	83.98876404%	[79.8197%, 87.4322%]
357	84.03361345%	[79.8746%, 87.4680%]
358	84.07821229%	[79.9292%, 87.5036%]
359	84.12256267%	[79.9836%, 87.5390%]
360	84.16666667%	[80.0376%, 87.5742%]
361	83.93351801%	[79.7912%, 87.3612%]
362	83.97790055%	[79.8455%, 87.3968%]
363	84.02203857%	[79.8994%, 87.4321%]
364	83.79120879%	[79.6557%, 87.2209%]
365	83.83561644%	[79.7099%, 87.2565%]
366	83.87978142%	[79.7638%, 87.2920%]
367	83.92370572%	[79.8174%, 87.3272%]
368	83.96739130%	[79.8707%, 87.3622%]
369	83.73983740%	[79.6306%, 87.1538%]
370	83.78378378%	[79.6841%, 87.1892%]
371	83.82749326%	[79.7373%, 87.2243%]
372	83.87096774%	[79.7903%, 87.2593%]
373	83.91420912%	[79.8430%, 87.2940%]
374	83.95721925%	[79.8954%, 87.3286%]
375	83.73333333%	[79.6592%, 87.1233%]
376	83.77659574%	[79.7118%, 87.1582%]
377	83.81962865%	[79.7642%, 87.1928%]
378	83.86243386%	[79.8162%, 87.2273%]
379	83.90501319%	[79.8680%, 87.2616%]
380	83.94736842%	[79.9196%, 87.2957%]
381	83.72703412%	[79.6872%, 87.0936%]
382	83.76963351%	[79.7389%, 87.1279%]
383	83.81201044%	[79.7904%, 87.1621%]
384	83.85416667%	[79.8416%, 87.1961%]
385	83.89610390%	[79.8925%, 87.2300%]
386	83.93782383%	[79.9432%, 87.2636%]
387	83.72093023%	[79.7145%, 87.0645%]
388	83.76288660%	[79.7654%, 87.0984%]
389	83.80462725%	[79.8160%, 87.1321%]
390	83.84615385%	[79.8664%, 87.1657%]
391	83.63171355%	[79.6404%, 86.9686%]
392	83.67346939%	[79.6910%, 87.0024%]
393	83.71501272%	[79.7413%, 87.0360%]
394	83.75634518%	[79.7913%, 87.0695%]
395	83.79746835%	[79.8411%, 87.1028%]
396	83.83838384%	[79.8907%, 87.1359%]
397	83.62720403%	[79.6682%, 86.9416%]
398	83.66834171%	[79.7179%, 86.9750%]
399	83.70927318%	[79.7674%, 87.0082%]
400	83.75000000%	[79.8167%, 87.0413%]
401	83.79052369%	[79.8657%, 87.0741%]
402	83.83084577%	[79.9144%, 87.1068%]
403	83.87096774%	[79.9629%, 87.1394%]
404	83.66336634%	[79.7443%, 86.9483%]
405	83.70370370%	[79.7930%, 86.9810%]
406	83.74384236%	[79.8415%, 87.0137%]
407	83.78378378%	[79.8897%, 87.0461%]
408	83.82352941%	[79.9377%, 87.0784%]
409	83.86308068%	[79.9855%, 87.1105%]
410	83.90243902%	[80.0330%, 87.1425%]
411	83.94160584%	[80.0803%, 87.1743%]
412	83.98058252%	[80.1274%, 87.2059%]
413	84.01937046%	[80.1743%, 87.2374%]
414	83.81642512%	[79.9605%, 87.0506%]
415	83.85542169%	[80.0075%, 87.0823%]
416	83.89423077%	[80.0543%, 87.1139%]
417	83.69304556%	[79.8426%, 86.9284%]
418	83.73205742%	[79.8895%, 86.9602%]
419	83.77088305%	[79.9363%, 86.9919%]
420	83.80952381%	[79.9828%, 87.0234%]
421	83.61045131%	[79.7734%, 86.8397%]
422	83.64928910%	[79.8201%, 86.8714%]
423	83.68794326%	[79.8666%, 86.9030%]
424	83.49056604%	[79.6591%, 86.7207%]
425	83.52941176%	[79.7057%, 86.7524%]
426	83.56807512%	[79.7521%, 86.7840%]
427	83.60655738%	[79.7983%, 86.8155%]
428	83.64485981%	[79.8443%, 86.8468%]
429	83.44988345%	[79.6394%, 86.6666%]
430	83.48837209%	[79.6855%, 86.6981%]
431	83.29466357%	[79.4822%, 86.5189%]
432	83.33333333%	[79.5284%, 86.5506%]
433	83.37182448%	[79.5745%, 86.5822%]
434	83.41013825%	[79.6204%, 86.6137%]
435	83.44827586%	[79.6660%, 86.6449%]
436	83.25688073%	[79.4651%, 86.4677%]
437	83.29519451%	[79.5109%, 86.4992%]
438	83.33333333%	[79.5565%, 86.5305%]
439	83.37129841%	[79.6019%, 86.5617%]
440	83.18181818%	[79.4031%, 86.3861%]
441	83.21995465%	[79.4486%, 86.4175%]
442	83.25791855%	[79.4940%, 86.4488%]
443	83.29571106%	[79.5391%, 86.4799%]
444	83.33333333%	[79.5840%, 86.5108%]
445	83.37078652%	[79.6287%, 86.5416%]
446	83.40807175%	[79.6732%, 86.5723%]
447	83.44519016%	[79.7176%, 86.6029%]
448	83.48214286%	[79.7617%, 86.6333%]
449	83.51893096%	[79.8057%, 86.6635%]
450	83.55555556%	[79.8494%, 86.6936%]
451	83.59201774%	[79.8930%, 86.7236%]
452	83.62831858%	[79.9364%, 86.7535%]
453	83.66445916%	[79.9796%, 86.7832%]
454	83.70044053%	[80.0226%, 86.8128%]
455	83.73626374%	[80.0654%, 86.8422%]
456	83.77192982%	[80.1080%, 86.8716%]
457	83.58862144%	[79.9155%, 86.7018%]
458	83.62445415%	[79.9583%, 86.7313%]
459	83.66013072%	[80.0009%, 86.7607%]
460	83.69565217%	[80.0433%, 86.7899%]
461	83.73101952%	[80.0855%, 86.8190%]
462	83.76623377%	[80.1276%, 86.8480%]
463	83.58531317%	[79.9376%, 86.6803%]
464	83.40517241%	[79.7486%, 86.5132%]
465	83.44086022%	[79.7910%, 86.5427%]
466	83.47639485%	[79.8334%, 86.5720%]
467	83.51177730%	[79.8755%, 86.6012%]
468	83.54700855%	[79.9174%, 86.6303%]
469	83.58208955%	[79.9592%, 86.6593%]
470	83.61702128%	[80.0008%, 86.6882%]
471	83.65180467%	[80.0423%, 86.7169%]
472	83.68644068%	[80.0835%, 86.7455%]
473	83.72093023%	[80.1246%, 86.7739%]
474	83.75527426%	[80.1655%, 86.8023%]
475	83.78947368%	[80.2063%, 86.8305%]
476	83.61344538%	[80.0215%, 86.6672%]
477	83.64779874%	[80.0624%, 86.6956%]
478	83.68200837%	[80.1031%, 86.7239%]
479	83.71607516%	[80.1436%, 86.7520%]
480	83.75000000%	[80.1840%, 86.7801%]
481	83.78378378%	[80.2242%, 86.8080%]
482	83.81742739%	[80.2643%, 86.8358%]
483	83.85093168%	[80.3042%, 86.8635%]
484	83.88429752%	[80.3439%, 86.8910%]
485	83.91752577%	[80.3835%, 86.9185%]
486	83.95061728%	[80.4229%, 86.9458%]
487	83.77823409%	[80.2419%, 86.7859%]
488	83.81147541%	[80.2814%, 86.8134%]
